HEADER_BEGIN-------------------------------------------------------------
WARNING ! Do not remove or change anything in this header.
Exported by CanView 1.20
13,45,12,4
HEADER_END---------------------------------------------------------------

> +214.8ms                                                  000100F0                                    
> +1.9ms                                                    00020010                                    
> +0.4ms                                                    00020020                                    
> +72.5ms                                                   00111020    81  1E  22  08  00  00  00  11  
> +1.6ms                                                    0010F010    00  1E  22  08  00  00  00  11  
> +712.1ms                                                  00112010    00  1E  22  07  00  00  00  12  
> +72.8ms                                                   00111020    81  1E  02  00  00  00  00  12  
> +70.3ms                                                   00111020    81  1E  22  08  00  00  00  12  
> +1.3ms                                                    0010F010    00  1E  22  08  00  00  00  12  
> +711.6ms                                                  00112010    00  1E  22  07  00  00  00  13  
> +75.6ms                                                   00111020    81  1E  02  00  00  00  00  13  
> +68.9ms                                                   00111020    81  1E  22  08  00  00  00  13  
> +1.3ms                                                    0010F010    00  1E  22  08  00  00  00  13  
> +710.2ms                                                  00112010    00  1E  22  07  00  00  00  14  
> +72.5ms                                                   00111020    81  1E  02  00  00  00  00  14  
> +75.0ms                                                   00111020    81  1E  22  08  00  00  00  14  
> +1.3ms                                                    0010F010    00  1E  22  08  00  00  00  14  
> +707.2ms                                                  00112010    00  1E  22  07  00  00  00  15  
> +75.4ms                                                   00111020    81  1E  02  00  00  00  00  15  
> +69.0ms                                                   00111020    81  1E  22  08  00  00  00  15  
> +1.3ms                                                    0010F010    00  1E  22  08  00  00  00  15  
> +710.2ms                                                  00112010    00  1E  22  07  00  00  00  16  
> +74.7ms                                                   00111020    81  1E  02  00  00  00  00  16  
> +75.9ms                                                   00111020    81  1E  22  08  00  00  00  16  
> +2.2ms                                                    0010F010    00  1E  22  08  00  00  00  16  
> +702.2ms                                                  00112010    00  1E  22  07  00  00  00  17  
> +79.0ms                                                   00111020    81  1E  02  00  00  00  00  17  
> +79.1ms                                                   00111020    81  1E  22  08  00  00  00  17  
> +1.3ms                                                    0010F010    00  1E  22  08  00  00  00  17  
> +695.6ms                                                  00112010    00  1E  22  07  00  00  00  18  
> +77.0ms                                                   00111020    81  1E  02  00  00  00  00  18  
> +76.7ms                                                   00111020    81  1E  22  08  00  00  00  18  
> +1.4ms                                                    0010F010    00  1E  22  08  00  00  00  18  
> +700.8ms                                                  00112010    00  1E  22  07  00  00  00  19  
> +71.3ms                                                   00111020    81  1E  02  00  00  00  00  19  
> +83.9ms                                                   00111020    81  1E  22  08  00  00  00  19  
> +1.3ms                                                    0010F010    00  1E  22  08  00  00  00  19  
> +701.6ms                                                  00112010    00  1E  22  07  00  00  00  1A  
> +71.3ms                                                   00111020    81  1E  02  00  00  00  00  1A  
> +64.6ms                                                   00111020    81  1E  22  08  00  00  00  1A  
> +1.2ms                                                    0010F010    00  1E  22  08  00  00  00  1A  
> +718.7ms                                                  00112010    00  1E  22  07  00  00  00  1B  
> +74.6ms                                                   00111020    81  1E  02  00  00  00  00  1B  
> +68.2ms                                                   00111020    81  1E  22  08  00  00  00  1B  
> +1.4ms                                                    0010F010    00  1E  22  08  00  00  00  1B  
> +2720.9ms                                                 00100010    00  01  00  05  00  00  01  01  
> +13.1ms                                                   001210F0    00  01  01  00                  
> +64.2ms                                                   00112010    00  01  00  02  00  00  00  00  
> +1.5ms                                                    00100010    00  01  00  05  00  00  01  02  
> +6.9ms                                                    0010F010    00  01  01  00  00  00  00  65  
> +6.9ms                                                    001210F0    00  01  01  01                  
> +1.2ms                                                    0010F010    00  01  01  01  00  00  00  01  
> +3.4ms                                                    001210F0    00  1E  30  00                  
> +0.3ms                                                    0010F010    00  1E  30  00  00  00  0E  D7  
> +1919.1ms                                                 00100020    81  01  00  05  00  00  00  00  
> +5.1ms                                                    00100020    81  01  00  05  00  00  00  00  
> +5.1ms                                                    00110020    81  01  00  02  00  00  00  01  
> +2632.6ms                                                 00100010    00  01  00  05  00  00  01  00  
> +53357.2ms                                                001120F0    00  01  01  00  00  00  00  01  
> +33.9ms                                                   001110F0    00  01  01  00  00  00  00  01  
> +1.6ms                                                    00100010    00  01  00  05  00  00  00  00  
> +4.7ms                                                    001110F0    00  01  01  01  00  00  00  01  
> +0.4ms                                                    0010F010    00  01  01  00  00  00  00  01  
> +0.2ms                                                    0010F010    00  01  01  01  00  00  00  01  
> +3577.5ms                                                 001220F0    00  01  00  50                  
> +1.5ms                                                    0010F020    00  01  00  50  50  43  42  2D  
> +0.4ms                                                    0010F020    00  01  00  50  41  20  43  50  
> +0.2ms                                                    0010F020    00  01  00  50  55  20  41  50  
> +0.3ms                                                    0010F020    00  01  00  50  50  33  32  3A  
> +0.2ms                                                    0010F020    00  01  00  50  20  20  31  2E  
> +0.2ms                                                    0010F020    00  01  00  50  33  2E  30  0A  
> +0.2ms                                                    0010F020    00  01  00  50  50  43  42  2D  
> +0.2ms                                                    0010F020    00  01  00  50  42  20  4D  32  
> +0.2ms                                                    0010F020    00  01  00  50  31  48  20  4D  
> +0.2ms                                                    0010F020    00  01  00  50  32  31  3A  20  
> +0.2ms                                                    0010F020    00  01  00  50  20  32  2E  30  
> +0.2ms                                                    0010F020    00  01  00  50  2E  31  20  0A  
> +0.2ms                                                    0010F020    00  01  00  50  50  43  42  2D  
> +0.2ms                                                    0010F020    00  01  00  50  43  20  4D  32  
> +0.2ms                                                    0010F020    00  01  00  50  31  48  20  4D  
> +0.2ms                                                    0010F020    00  01  00  50  32  32  3A  20  
> +0.2ms                                                    0010F020    00  01  00  50  20  32  2E  30  
> +0.2ms                                                    0010F020    00  01  00  50  2E  31  20  0A  
> +0.3ms                                                    0010F020    00  01  00  50  50  43  42  2D  
> +0.9ms                                                    0010F020    00  01  00  50  44  20  4D  32  
> +0.3ms                                                    0010F020    00  01  00  50  31  48  20  4D  
> +0.2ms                                                    0010F020    00  01  00  50  32  33  3A  20  
> +0.2ms                                                    0010F020    00  01  00  50  20  32  2E  30  
> +0.2ms                                                    0010F020    00  01  00  50  2E  31  20  00  
> +0.2ms                                                    0010F020    00  01  00  50  04  00  00  00  
> +40.8ms                                                   001210F0    00  01  00  50                  
> +1.4ms                                                    0010F010    00  01  00  50  00  00  00  04  
> +0.3ms                                                    0010F010    00  01  00  50  50  43  42  2D  
> +0.2ms                                                    0010F010    00  01  00  50  54  20  41  50  
> +0.2ms                                                    0010F010    00  01  00  50  50  33  32  20  
> +0.2ms                                                    0010F010    00  01  00  50  43  50  55  20  
> +0.2ms                                                    0010F010    00  01  00  50  3A  20  31  2E  
> +0.2ms                                                    0010F010    00  01  00  50  33  2E  33  41  
> +0.2ms                                                    0010F010    00  01  00  50  20  0A  50  43  
> +0.2ms                                                    0010F010    00  01  00  50  42  2D  47  20  
> +0.2ms                                                    0010F010    00  01  00  50  4D  32  31  48  
> +0.2ms                                                    0010F010    00  01  00  50  20  4D  31  3A  
> +0.2ms                                                    0010F010    00  01  00  50  20  20  20  32  
> +0.2ms                                                    0010F010    00  01  00  50  2E  30  2E  31  
> +0.2ms                                                    0010F010    00  01  00  50  20  20  0A  50  
> +0.2ms                                                    0010F010    00  01  00  50  43  42  2D  48  
> +0.2ms                                                    0010F010    00  01  00  50  20  4D  32  31  
> +0.2ms                                                    0010F010    00  01  00  50  48  20  4D  32  
